cohort_group,client_id,amount
2010-09,21751,2148326.9099997855
2010-10,21320,1957222.929999722
2010-11,21814,1615043.6799997336
2010-12,28025,1760166.3899995934
2011-01,16176,747040.2099998638
2011-02,10395,587525.0699999353
2011-03,13335,843255.4899998774
2011-04,14966,931435.619999853
2011-05,17578,1038736.9799998209
2011-06,19180,1111388.5799997807
2011-07,15465,692019.1299998732
2011-08,14464,881630.9399998744
2011-09,16994,1184175.9899998195
2011-10,20483,1429428.679999768
2011-11,24918,1640822.1699997056
2011-12,40380,2526894.980000605
2012-01,24049,1102972.0499997274
2012-02,16628,995447.8299998462
2012-03,22259,1476729.0599997286
2012-04,25278,1614718.9099997007
2012-05,26485,1660822.3799996818
2012-06,26512,1708791.7799997712
2012-07,27950,1374953.3099998226
2012-08,23171,1384353.1399999557
2012-09,29395,2092554.8900000518
2012-10,36565,2740019.890000628
2012-11,44584,3214302.910001348
2012-12,73317,5118854.80000325
2013-01,43430,2181536.080000007
2013-02,19002,1039395.8299999647
2013-03,24771,1503956.859999972
2013-04,30208,1789791.5299999507
2013-05,33086,1928212.0199999462
2013-06,41233,2450387.850000628
2013-07,32666,1505606.3199997598
2013-08,24542,1372475.7099999695
2013-09,34370,2480912.940000395
2013-10,38989,2871996.260000815
2013-11,30183,2242318.3700002395
2013-12,44398,3164518.080000404
2014-01,30315,1634965.9199998733
2014-02,14493,865181.3599999824
2014-03,42711,2809859.190000869
2014-04,48971,3259177.7000013185
2014-05,51965,3372130.8500015563
2014-06,63721,4018403.120001727
2014-07,54841,2443287.1200003987
2014-08,42077,2393635.910000215
2014-09,51620,3522745.23000135
2014-10,65828,4795720.600002802
2014-11,94530,6538965.72000565
2014-12,121471,8040127.5800067885
2015-01,76956,3965628.7600034527
2015-02,40429,2313495.9900001804
2015-03,50154,3118312.110001274
2015-04,58095,3528972.570001912
2015-05,56468,3469036.2300018463
2015-06,72499,4097485.9900029134
2015-07,60990,2621896.230000732
2015-08,56145,2952700.9000009215
2015-09,75010,4777384.420003343
2015-10,95471,6267772.090006272
2015-11,156341,9787146.890009752
2015-12,183709,10853102.400011245
2016-01,99474,4555665.860005786
2016-02,61016,3165182.140001493
2016-03,69270,3889371.1700027604
2016-04,76799,4222691.220003322
2016-05,87486,4956553.950005348
2016-06,109725,5898145.040007072
2016-07,76514,3134426.5200019036
2016-08,68868,3485396.9600021425
2016-09,81305,4880586.04000422
2016-10,109924,7024995.770008256
2016-11,154808,9767160.460009465
2016-12,192706,11186666.580014804
2017-01,110442,4996553.720007151
2017-02,63578,3382673.940001326
2017-03,90313,5248199.710005283
2017-04,90179,5438264.420005899
2017-05,107917,6430293.440009225
2017-06,122305,7183529.920007639
2017-07,96241,4388829.380003114
2017-08,86927,4683613.440003531
2017-09,111954,7148757.450010891
2017-10,131627,8729699.39001515
2017-11,188241,12281476.81001812
2017-12,236448,14921204.090019701
2018-01,133582,6484030.89001039
2018-02,87715,4836302.600004126
2018-03,106567,6264326.730008354
2018-04,111810,6913507.030009834
